Country,MaxSuicides100K
Lithuania,151.33
Estonia,125.46
Latvia,108.76
Belarus,107.15
Kazakhstan,92.95
Hungary,89.47
Guyana,84.39
Ukraine,82.51
Rep. of Korea,81.21
Sri Lanka,79.75
